code,idx,date,close
002325.XSHE,6.0,2019-11-29,3.08
002325.XSHE,7.0,2019-12-31,3.21
002325.XSHE,8.0,2020-01-23,3.22
002325.XSHE,9.0,2020-02-28,3.24
002325.XSHE,10.0,2020-03-31,3.06
002325.XSHE,11.0,2020-04-30,3.05
002326.XSHE,0.0,2019-05-31,7.73
002326.XSHE,1.0,2019-06-28,7.48
002326.XSHE,2.0,2019-07-31,7.67
002326.XSHE,3.0,2019-08-30,6.85
002326.XSHE,4.0,2019-09-30,8.42
002326.XSHE,5.0,2019-10-31,8.1
002326.XSHE,6.0,2019-11-29,9.48
002326.XSHE,7.0,2019-12-31,9.9
002326.XSHE,8.0,2020-01-23,11.56
002326.XSHE,9.0,2020-02-28,14.33
002326.XSHE,10.0,2020-03-31,11.59
002326.XSHE,11.0,2020-04-30,11.11
002327.XSHE,0.0,2019-05-31,7.43
002327.XSHE,1.0,2019-06-28,7.47
002327.XSHE,2.0,2019-07-31,6.82
002327.XSHE,3.0,2019-08-30,6.7
002327.XSHE,4.0,2019-09-30,6.56
002327.XSHE,5.0,2019-10-31,6.74
002327.XSHE,6.0,2019-11-29,6.54
002327.XSHE,7.0,2019-12-31,6.94
002327.XSHE,8.0,2020-01-23,6.92
002327.XSHE,9.0,2020-02-28,6.72
002327.XSHE,10.0,2020-03-31,6.85
002327.XSHE,11.0,2020-04-30,7.29
002328.XSHE,0.0,2019-05-31,4.77
002328.XSHE,1.0,2019-06-28,4.08
002328.XSHE,2.0,2019-07-31,3.82
002328.XSHE,3.0,2019-08-30,3.63
002328.XSHE,4.0,2019-09-30,3.6
002328.XSHE,5.0,2019-10-31,4.08
002328.XSHE,6.0,2019-11-29,3.53
002328.XSHE,7.0,2019-12-31,3.88
002328.XSHE,8.0,2020-01-23,4.06
002328.XSHE,9.0,2020-02-28,6.44
002328.XSHE,10.0,2020-03-31,5.0
002328.XSHE,11.0,2020-04-30,4.98
002329.XSHE,0.0,2019-05-31,4.22
002329.XSHE,1.0,2019-06-28,4.93
002329.XSHE,2.0,2019-07-31,4.52
002329.XSHE,3.0,2019-08-30,4.15
002329.XSHE,4.0,2019-09-30,4.05
002329.XSHE,5.0,2019-10-31,4.03
002329.XSHE,6.0,2019-11-29,3.66
002329.XSHE,7.0,2019-12-31,4.4
002329.XSHE,8.0,2020-01-23,4.7
002329.XSHE,9.0,2020-02-28,4.89
002329.XSHE,10.0,2020-03-31,5.46
002329.XSHE,11.0,2020-04-30,5.1
002330.XSHE,0.0,2019-05-31,6.08
002330.XSHE,1.0,2019-06-28,5.72
002330.XSHE,2.0,2019-07-31,7.13
002330.XSHE,3.0,2019-08-30,6.87
002330.XSHE,4.0,2019-09-30,6.15
002330.XSHE,5.0,2019-10-31,7.2
002330.XSHE,6.0,2019-11-29,8.13
002330.XSHE,7.0,2019-12-31,7.74
002330.XSHE,8.0,2020-01-23,6.88
002330.XSHE,9.0,2020-02-28,6.37
